一级分类,二级分类,节点ID,课程编号,课件名称,授课人,职务,课时(分),格式,课程简介,制作时间,API文档ID,API文件名,API分类
"党建基础理论","党章学习","party-constitution","GC03I0515095_1510","亚洲基础设施投资银行","熊洁","",60,"精品三分屏","本课程由中央党校国际战略研究所博士熊洁主讲，主要内容有：一、亚洲基础设施投资银行基本概况；二、亚投行成立过程；三、亚投行与其他国际金融机制；四、对于亚投行的各方声音与回应；五、亚投行的未来的建设。",2015.9,"","",""
"党建基础理论","党章学习","party-constitution","GC03I0715095_1510","人民币汇率波动观察及分析","陈建奇","",64,"精品三分屏","本课程由中央党校国际战略研究所世界经济室副主任、副教授陈建奇主讲，主要内容有：一、人民币汇率波动观察；二、人民币汇率波动的根源分析及走势展望；三、进一步推动人民币汇率改革的政策建议。",2015.9,"","",""
"党建基础理论","党章学习","party-constitution","GC03I1115105_1511","美国和欧洲缩小贫富差距的经验与教训","赵柯","",69,"精品三分屏","本课程由中共中央党校国际战略研究所助理研究员赵柯主讲，主要内容有：一、美国贫富差距演变的历程；二、欧洲贫富差距演变的历程；三、欧美社会经济体制的差异；四、欧美贫富差距经验事实的政策含义；五、对中国的启",2015.1,"","",""
"党建基础理论","党章学习","party-constitution","GC03A0115121_1603","协调涉旅法规体系 促进旅游投资消费（上）","吴必虎","",49,"精品三分屏","本课程是《协调涉旅法规体系 促进旅游投资消费》系列课程的上半部分，由北京大学旅游研究与规划中心主任吴必虎主讲，主要内容有：一、旅游产业渐成国家和地方重要发展战略；二、旅游投资和旅游消费呈现双向增长；三",2015.12,"","",""
"党建基础理论","党章学习","party-constitution","GC03A0215121_1603","协调涉旅法规体系 促进旅游投资消费（下）","吴必虎","",47,"精品三分屏","本课程是《协调涉旅法规体系 促进旅游投资消费》系列课程的下半部分，由北京大学旅游研究与规划中心主任吴必虎主讲，围绕“协调涉旅法规体系，保障行业健康发展”这一主题，主要内容有：涉旅法规体系的发展环境；涉",2015.12,"","",""
"党建基础理论","党章学习","party-constitution","GC03I0216015_1604","当前境外涉华舆情新变化与应对思路","陈向阳","",55,"精品三分屏","本课程由中国现代国际关系研究院世界政治所副所长、研究员陈向阳主讲，主要内容有：一、当前境外涉华舆情总体新态势；二、境外涉华舆情呈现群体性、地区性、个体性新特点；三、境外涉华舆论的新论调；四、未雨绸缪、",2016.1,"e3b72243-ff53-5443-9e4f-75468ecd936b","当前境外涉华舆情新变化与应对思路","国家治理"
"党建基础理论","党章学习","party-constitution","GC03I0316015_1604","当前朝鲜半岛形势及中国的应对","陈向阳","",57,"精品三分屏","本课程由中国现代国际关系研究院世界政治所副所长、研究员陈向阳主讲，主要内容有：一、外交部门领导人近期关于朝鲜半岛问题的讲话和表态；二、中朝关系进行重新评估的必要性和紧迫性；三、中国如何重新掌握半岛问题",2016.1,"ff948f34-eaa4-5d4c-9a1c-fd20d03df0ac","当前朝鲜半岛形势及中国的应对","国家治理"
"党建基础理论","党章学习","party-constitution","GC03M0616015_1604","世界各国对银行监管政策和银行监管实践的最新进展","张俊喜","",23,"精品三分屏","本课程由天津财经大学副校长张俊喜主讲，主要内容包括：一、世界各国银行业的结构性变化；二、各国银行监管政策的差异；三、监管者最关心的监管指标与监管政策的趋同现象。",2016.1,"","",""
"党建基础理论","党章学习","party-constitution","GC03M0716015_1604","工业化后期珠三角市场深化与商贸流通体系再造","王先庆","",23,"精品三分屏","本课程由广东财经大学流通经济研究所所长王先庆主讲，主要内容包括：一、工业化进程与市场体系发育成长；二、工业化后期珠三角市场深化的表现与特点；三、互联网背景下珠三角商贸流通体系再造。",2016.1,"","",""
"党建基础理论","党章学习","party-constitution","GC03I0316045_1607","朝核问题的缘起与现状","薛晓芃","",59,"精品三分屏","本课程由大连外国语大学东北亚研究中心副主任、副教授薛晓芃主讲，主要内容有：一、地缘政治说；二、朝核问题的缘起；三、朝鲜核技术开发进程；四、朝鲜核试验进程；五、朝鲜推动核计划成因；六、朝核问题的新变化；",2016.4,"","",""
